date,price,amount
2020-07-10,9198.132333363636,2668.9729841799763
2020-07-11,9238.607743517963,1145.0806770699985
2020-07-12,9252.90057683063,1679.9669548599961
2020-07-13,9278.506649664794,2850.6943833699784
2020-07-14,9213.646236651872,3085.473584789991
2020-07-15,9211.051720371372,3307.1267469899753
2020-07-16,9115.306289214346,3908.408895360002
2020-07-17,9137.227560241012,2171.6798309099963
2020-07-18,9162.799923136088,1053.2654712499975
2020-07-19,9161.939470936266,1355.34662685
2020-07-20,9176.243891949996,2034.7191103499954
2020-07-21,9335.303869698388,4022.0483018599953
2020-07-22,9409.161748860515,3139.8690207899454
2020-07-23,9555.439470892536,4565.297418839963
2020-07-24,9561.759963693268,3345.5535598100037
2020-07-25,9647.222346077682,2412.074060769995
2020-07-26,9911.842739199239,5224.800837820002
2020-07-27,10652.495738558786,16317.13418061077
2020-07-28,10980.329739400306,8489.685815040195
2020-07-29,11130.679314796682,6258.410778320079
2020-07-30,11033.158906800521,5060.251681090035
2020-07-31,11246.807847949376,5391.832875100062
2020-08-01,11647.375288613797,6935.588019170106
2020-08-02,11337.56288122922,9103.232757310241
2020-08-03,11270.983662293826,4734.357852040056
2020-08-04,11234.00522340197,3413.5117966400094
2020-08-05,11540.828319188371,5230.820706580125
2020-08-06,11775.203315397624,4417.04203441002
2020-08-07,11644.500771414889,5264.9732338100575
2020-08-08,11697.06755763447,2217.988309389991
2020-08-09,11662.429636469617,1618.5527085099902
2020-08-10,11894.141887239904,6928.456340410119
2020-08-11,11520.46360826182,7265.366587330155
2020-08-12,11467.577239205568,4049.321046140017
2020-08-13,11562.088749394168,4296.453870910003
2020-08-14,11760.531130209058,3549.5733847000024
2020-08-15,11875.696307771814,3176.274402040002
2020-08-16,11835.873019950372,1955.2623729799807
2020-08-17,12166.40955310029,6920.632439190161
2020-08-18,12101.185931781101,6055.424528500091
2020-08-19,11774.602913081006,5945.744553410078
2020-08-20,11814.018243765324,3273.1438884999675
2020-08-21,11709.37893646081,3996.1063977800236
2020-08-22,11541.092069144142,2777.535563319962
2020-08-23,11631.768988288028,1207.4379313099957
2020-08-24,11743.85895059216,2158.1954737699853
2020-08-25,11423.186247570826,5257.963037600106
2020-08-26,11414.818377342235,2742.5278126699454
2020-08-27,11331.593187675715,4707.310185590023
2020-08-28,11457.518059826496,2688.00400618998
2020-08-29,11507.198511305034,1489.5349914599922
2020-08-30,11619.582557892514,1357.3599300399892
2020-08-31,11692.764702154678,2463.347741909988
2020-09-01,11894.399661954616,4033.230110039991
2020-09-02,11490.79472214432,6177.247378000144
2020-09-03,10812.158829281307,10567.152148100211
2020-09-04,10345.377808554322,7291.888589340162
2020-09-05,10162.307756696418,6725.5237442400785
2020-09-06,10204.472610141249,2497.157864050026
2020-09-07,10129.667444755663,4070.350317720036
2020-09-08,10091.833136156041,5532.391834340078
2020-09-09,10207.827970451128,3169.4485066000098
2020-09-10,10350.250468352686,3714.0908714200655
2020-09-11,10306.049534322177,2682.488752459993
2020-09-12,10381.558467229132,2068.3659933200065
2020-09-13,10370.970708346424,2427.791966680011
2020-09-14,10555.642179106542,4151.732283390078
2020-09-15,10793.524704237016,4280.924355380103
2020-09-16,10949.861498768996,4155.036209837328
2020-09-17,10923.254602428504,3387.945446800045
2020-09-18,10920.073732198745,2354.540575040001
2020-09-19,11034.028028476361,1827.5691614199786
2020-09-20,10895.322181447504,2298.823521739985
2020-09-21,10583.81229404924,6425.3480772201265
2020-09-22,10469.117617322385,3177.4416282300094
2020-09-23,10380.358339884595,4306.72297782009
2020-09-24,10504.972969429826,4593.252937050111
2020-09-25,10672.651461262776,3847.358267840019
2020-09-26,10722.472106905496,1457.363815439994
2020-09-27,10720.236568640314,1581.0633772299893
2020-09-28,10868.179904733504,3476.4484825400273
2020-09-29,10735.93789749659,2743.9082823000076
2020-09-30,10740.83866028716,2473.8292208799926
2020-10-01,10690.624695825334,5064.961718290039
2020-10-02,10506.753522844121,3866.327309740066
2020-10-03,10555.70416887469,1221.4305343699955
2020-10-04,10617.65612491382,1234.2517438099924
2020-10-05,10716.675013162043,2274.0205789399797
2020-10-06,10672.275246785473,3347.5426593000197
2020-10-07,10624.52246744658,2177.5058747600024
2020-10-08,10800.414709354885,4228.066938280061
2020-10-09,11013.296385264754,3237.0077305100467
2020-10-10,11329.686494688916,3960.958900770055
2020-10-11,11363.635193242975,2180.8863259699933
2020-10-12,11487.348245890162,4883.071879890048
2020-10-13,11435.77018926153,3464.4754267800063
2020-10-14,11405.216441441426,2817.8590861899906
2020-10-15,11436.260125226481,3310.606036180017
2020-10-16,11348.699412857666,3689.1844969900144
2020-10-17,11341.074016686502,1155.9542863099962
2020-10-18,11439.401259542055,1062.879124349999
2020-10-19,11650.094732803293,4364.707014260076
2020-10-20,11883.027385209241,5301.912446320056
2020-10-21,12608.889745596793,11497.593474370668
2020-10-22,12962.078871637828,5337.4366232501125
2020-10-23,12912.412831258353,3897.169550070075
2020-10-24,13034.470327413295,1813.5869816899865
2020-10-25,13075.155796709414,3508.3677975500655
2020-10-26,13047.806913565844,4628.577690140081
2020-10-27,13478.709831735969,7598.844079270205
2020-10-28,13380.511105488651,8264.04057366033
2020-10-29,13351.857140900891,5549.850250940129
2020-10-30,13430.700170005512,6467.916010970322
2020-10-31,13773.585031568435,5282.111552020207
2020-11-01,13767.061397271027,2302.111456339977
2020-11-02,13545.675765159855,5151.11685948006
2020-11-03,13680.664952112329,5039.102501740165
2020-11-04,13947.374797479695,7484.67922848029
2020-11-05,14932.645414737593,13893.35310348068
2020-11-06,15582.228310238008,9645.327078111042
2020-11-07,15098.236185241924,7646.399470381139
2020-11-08,15251.96627954659,4503.790867310148
2020-11-09,15335.781328901518,7504.180589730604
2020-11-10,15303.781109090993,3736.893017670035
2020-11-11,15669.752467561364,6372.856204410217
2020-11-12,15983.830398853994,9541.89852023037
2020-11-13,16276.584288052187,6047.970998300438
2020-11-14,15998.395945182823,3713.3489932700727
2020-11-15,15974.55983452109,2083.205264019973
2020-11-16,16500.890518177177,6629.53381631027
2020-11-17,17282.978162594038,10140.278255340401
2020-11-18,17861.16473525171,13809.843728740265
2020-11-19,17858.071318072405,6833.901090470258
2020-11-20,18404.241870328653,6868.259701700252
2020-11-21,18709.91104909384,4874.535493840142
2020-11-22,18331.499550475233,6457.671898930227
2020-11-23,18429.701421997728,6160.781407390241
2020-11-24,18902.86446836672,9038.296120500554
2020-11-25,19009.99256751513,6923.700786770308
2020-11-26,17242.913448453728,18298.68923292064
2020-11-27,16938.981851988647,5962.048387930367
2020-11-28,17443.077938466555,5037.346223550102
2020-11-29,18013.73864556599,5284.400978850249
2020-11-30,19110.793857921348,13486.018027200776
2020-12-01,19142.18532349923,12790.053358840989
2020-12-02,18918.830026220032,6800.558534190373
2020-12-03,19313.8473032011,5045.72826462031
2020-12-04,19051.858417161355,5834.1169808402865
2020-12-05,18956.8940914512,2374.3677932999976
2020-12-06,19172.80782936727,2717.6006532100387
2020-12-07,19160.26086623656,3138.3648125999616
2020-12-08,18766.769041206007,6386.01889423044
2020-12-09,18226.439942990477,7731.943320430861
2020-12-10,18257.468508245194,4911.090368080161
2020-12-11,17933.780716941514,6183.564175740435
2020-12-12,18527.814330695885,4583.50043711015
2020-12-13,19145.388480222264,4740.411683030118
