date,price,amount
2020-09-07,8579.21044396822,6071.761355230265
2020-09-08,8586.201679964191,7844.308628170387
2020-09-09,8675.181099489117,5217.794499720177
2020-09-10,8749.90787823146,5100.287305240188
2020-09-11,8720.093846733238,4436.788709930177
2020-09-12,8779.885435897482,2206.121570639997
2020-09-13,8783.660267969624,2789.6843068300154
2020-09-14,8903.672872996147,6011.884411420303
2020-09-15,9103.71472246638,6001.350910140305
2020-09-16,9234.669314711216,6478.241055079878
2020-09-17,9222.31100328417,5516.70028568011
2020-09-18,9246.277452193577,4494.874178580092
2020-09-19,9325.66005451995,2033.6798067899902
2020-09-20,9230.32305647849,2321.704932769981
2020-09-21,9009.539765563042,6151.676934720164
2020-09-22,8935.009202859934,4129.6081061500445
2020-09-23,8928.347538126354,4877.657164200067
2020-09-24,8991.497727631437,4901.482714710054
2020-09-25,9164.584508851765,4534.591002660079
2020-09-26,9225.826435317085,1792.0833144400067
2020-09-27,9204.247835530385,1451.1965111499894
2020-09-28,9343.00400065291,4650.726151330076
2020-09-29,9176.104260186423,4479.508389730035
2020-09-30,9167.44791360346,3190.65046807001
2020-10-01,9153.226960862177,6206.412709810174
2020-10-02,8973.647651943815,4333.888219950097
2020-10-03,9021.707634586015,1848.6198230299942
2020-10-04,9071.530898741372,1610.3721705999974
2020-10-05,9105.06032268537,4501.534851440052
2020-10-06,9075.491047652431,4566.352778450056
2020-10-07,9033.115969941811,2461.6992703499964
2020-10-08,9149.286002880359,4562.156080680053
2020-10-09,9322.76701009765,4177.487222530057
2020-10-10,9564.45115123484,3055.6316209700285
2020-10-11,9593.285584110487,2276.863765169997
2020-10-12,9699.2918802449,5199.9410343401005
2020-10-13,9727.419394220933,4023.6227525500003
2020-10-14,9718.952384208389,3686.324633970028
2020-10-15,9753.209275555997,4961.024764700119
2020-10-16,9694.76891721934,4022.4895593900515
2020-10-17,9689.57937056738,1083.8836992099966
2020-10-18,9761.14396171938,2450.9124624799924
2020-10-19,9888.561877262044,4795.869399490085
2020-10-20,10051.947657143031,5395.586225070137
2020-10-21,10594.2856596059,9924.702241510504
2020-10-22,10932.849620847346,7380.971532240292
2020-10-23,10906.215934105761,5398.445211510081
2020-10-24,10955.748333333018,1973.9078734899883
2020-10-25,10985.664668823265,3309.5009630900395
2020-10-26,11047.311455592277,4723.54524461007
2020-10-27,11385.517582187382,7494.8874075602735
2020-10-28,11363.822281173885,8429.665104180227
2020-10-29,11412.905409633106,6387.2148418201305
2020-10-30,11500.09568644406,5531.800566180094
2020-10-31,11829.900293037792,4834.118205860115
2020-11-01,11820.774951407513,2214.99657752
2020-11-02,11635.973807957935,5992.257615420157
2020-11-03,11666.712792653534,5662.379177960131
2020-11-04,11908.019295703742,5963.974800860362
2020-11-05,12629.885199099614,12470.863517560623
2020-11-06,13140.934996706863,9080.1746944905
2020-11-07,12669.815341094627,7178.671382320274
2020-11-08,12836.590173544244,4069.298557800145
2020-11-09,12923.304152856217,7790.252730220526
2020-11-10,12961.104362885759,4207.694471610058
2020-11-11,13289.25617895815,7093.398841930426
2020-11-12,13547.889442807917,8617.677823270584
