amount,total,price,type
0.00234,20.166610000000027,43130.0,buy
0.10895,20.275560000000027,43129.59,buy
0.2,20.475560000000026,43128.1,buy
0.0005,20.476060000000025,43128.01,buy
0.1,20.576060000000027,43127.53,buy
0.10438,20.680440000000026,43127.24,buy
0.1,20.780440000000027,43127.15,buy
0.101,20.881440000000026,43127.08,buy
0.1,20.981440000000028,43126.27,buy
0.00026,20.98170000000003,43125.96,buy
0.00122,20.98292000000003,43125.7,buy
0.00216,20.98508000000003,43125.66,buy
0.00046,20.98554000000003,43124.67,buy
0.08,21.065540000000027,43123.77,buy
0.11,21.175540000000026,43123.68,buy
0.11,21.285540000000026,43122.81,buy
0.001,21.286540000000027,43122.44,buy
0.1,21.38654000000003,43122.28,buy
0.1,21.48654000000003,43122.23,buy
0.1,21.58654000000003,43121.79,buy
0.00122,21.58776000000003,43121.36,buy
0.00672,21.594480000000033,43121.33,buy
0.00221,21.596690000000034,43121.05,buy
0.1,21.696690000000036,43120.08,buy
0.00046,21.697150000000036,43120.0,buy
0.08,21.777150000000034,43119.45,buy
0.00217,21.779320000000034,43118.89,buy
0.22,21.999320000000033,43118.69,buy
0.2,22.199320000000032,43117.99,buy
0.101,22.30032000000003,43117.27,buy
0.00122,22.30154000000003,43117.02,buy
0.001,22.302540000000032,43117.0,buy
0.02383,22.326370000000033,43115.82,buy
0.00276,22.32913000000003,43115.74,buy
0.101,22.43013000000003,43115.2,buy
0.08,22.51013000000003,43115.13,buy
0.2,22.710130000000028,43114.84,buy
0.00525,22.715380000000028,43114.51,buy
0.1001,22.81548000000003,43114.3,buy
0.00122,22.81670000000003,43112.68,buy
0.00183,22.81853000000003,43112.24,buy
0.1,22.918530000000032,43112.14,buy
0.00254,22.921070000000032,43111.29,buy
0.08,23.00107000000003,43110.81,buy
0.00046,23.00153000000003,43110.04,buy
0.00417,23.00570000000003,43109.67,buy
0.31445,23.32015000000003,43109.03,buy
0.00122,23.32137000000003,43108.34,buy
0.1,23.42137000000003,43107.06,buy
0.00201,23.42338000000003,43104.91,buy
0.00122,23.42460000000003,43104.0,buy
0.00078,23.42538000000003,43103.06,buy
0.12,23.54538000000003,43102.55,buy
0.00045,23.54583000000003,43102.38,buy
0.00028,23.54611000000003,43102.33,buy
0.0025,23.548610000000032,43101.0,buy
0.0255,23.574110000000033,43100.51,buy
0.02676,23.600870000000032,43100.0,buy
0.00024,23.601110000000034,43099.99,buy
0.04961,23.650720000000035,43099.9,buy
0.00122,23.651940000000035,43099.67,buy
0.00045,23.652390000000036,43098.49,buy
0.00198,23.654370000000036,43096.93,buy
0.00128,23.655650000000037,43096.79,buy
0.00081,23.65646000000004,43096.72,buy
0.0007,23.657160000000037,43095.89,buy
0.00046,23.657620000000037,43095.42,buy
0.00122,23.658840000000037,43095.33,buy
0.00193,23.66077000000004,43094.62,buy
0.00276,23.663530000000037,43094.26,buy
0.00525,23.668780000000037,43092.79,buy
0.1,23.76878000000004,43092.05,buy
